frame,float_y,t,y
1,8.26388888888889,0.0166666666666667,8
2,16.3888888888889,0.0333333333333333,16
3,24.375,0.05,24
4,32.2222222222222,0.0666666666666667,32
5,39.9305555555556,0.0833333333333333,40
6,47.5,0.1,48
7,54.9305555555556,0.116666666666667,55
8,62.2222222222222,0.133333333333333,62
9,69.375,0.15,69
10,76.3888888888889,0.166666666666667,76
11,83.2638888888889,0.183333333333333,83
12,90,0.2,90
13,96.5972222222222,0.216666666666667,97
14,103.055555555556,0.233333333333333,103
15,109.375,0.25,109
16,115.555555555556,0.266666666666667,116
17,121.597222222222,0.283333333333333,122
18,127.5,0.3,127
19,133.263888888889,0.316666666666667,133
20,138.888888888889,0.333333333333333,139
21,144.375,0.35,144
22,149.722222222222,0.366666666666667,150
23,154.930555555556,0.383333333333333,155
24,160,0.4,160
25,164.930555555556,0.416666666666667,165
26,169.722222222222,0.433333333333333,170
27,174.375,0.45,174
28,178.888888888889,0.466666666666667,179
29,183.263888888889,0.483333333333333,183
30,187.5,0.5,188
31,191.597222222222,0.516666666666667,192
32,195.555555555556,0.533333333333333,196
33,199.375,0.55,199
34,203.055555555556,0.566666666666667,203
35,206.597222222222,0.583333333333333,207
36,210,0.6,210
37,213.263888888889,0.616666666666667,213
38,216.388888888889,0.633333333333333,216
39,219.375,0.65,219
40,222.222222222222,0.666666666666667,222
41,224.930555555556,0.683333333333333,225
42,227.5,0.7,228
43,229.930555555556,0.716666666666667,230
44,232.222222222222,0.733333333333333,232
45,234.375,0.75,234
46,236.388888888889,0.766666666666667,236
47,238.263888888889,0.783333333333333,238
48,240,0.8,240
49,241.597222222222,0.816666666666667,242
50,243.055555555556,0.833333333333333,243
51,244.375,0.85,244
52,245.555555555556,0.866666666666667,246
53,246.597222222222,0.883333333333333,247
54,247.5,0.9,248
55,248.263888888889,0.916666666666667,248
56,248.888888888889,0.933333333333333,249
57,249.375,0.95,249
58,249.722222222222,0.966666666666667,250
59,249.930555555556,0.983333333333333,250
60,250,1,250
61,249.930555555556,1.01666666666667,250
62,249.722222222222,1.03333333333333,250
63,249.375,1.05,249
64,248.888888888889,1.06666666666667,249
65,248.263888888889,1.08333333333333,248
66,247.5,1.1,247
67,246.597222222222,1.11666666666667,247
68,245.555555555556,1.13333333333333,246
69,244.375,1.15,244
70,243.055555555556,1.16666666666667,243
71,241.597222222222,1.18333333333333,242
72,240,1.2,240
73,238.263888888889,1.21666666666667,238
74,236.388888888889,1.23333333333333,236
75,234.375,1.25,234
76,232.222222222222,1.26666666666667,232
77,229.930555555556,1.28333333333333,230
78,227.5,1.3,227
79,224.930555555556,1.31666666666667,225
80,222.222222222222,1.33333333333333,222
81,219.375,1.35,219
82,216.388888888889,1.36666666666667,216
83,213.263888888889,1.38333333333333,213
84,210,1.4,210
85,206.597222222222,1.41666666666667,207
86,203.055555555556,1.43333333333333,203
87,199.375,1.45,199
88,195.555555555556,1.46666666666667,196
89,191.597222222222,1.48333333333333,192
90,187.5,1.5,188
91,183.263888888889,1.51666666666667,183
92,178.888888888889,1.53333333333333,179
93,174.375,1.55,174
94,169.722222222222,1.56666666666667,170
95,164.930555555556,1.58333333333333,165
96,160,1.6,160
97,154.930555555556,1.61666666666667,155
98,149.722222222222,1.63333333333333,150
99,144.375,1.65,144
100,138.888888888889,1.66666666666667,139
101,133.263888888889,1.68333333333333,133
102,127.5,1.7,128
103,121.597222222222,1.71666666666667,122
104,115.555555555556,1.73333333333333,116
105,109.375,1.75,109
106,103.055555555556,1.76666666666667,103
107,96.5972222222222,1.78333333333333,97
108,90,1.8,90
109,83.2638888888889,1.81666666666667,83
110,76.3888888888889,1.83333333333333,76
111,69.375,1.85,69
112,62.2222222222222,1.86666666666667,62
113,54.9305555555556,1.88333333333333,55
114,47.5,1.9,47
115,39.9305555555555,1.91666666666667,40
116,32.2222222222223,1.93333333333333,32
117,24.375,1.95,24
118,16.388888888889,1.96666666666667,16
119,8.26388888888889,1.98333333333333,8
120,0,2,0
